id;region;cantidad_hijos;ingresos_mensuales;ingreso_pcapita;signo_zodiacal;anio_nacimiento;edad;vive_rm;tiene_hijos;entrega_documentos;toma_credito
11641;Región de Valparaíso.;1;1172653;390884.3333;12;1973;48;no;no;0;1
7073;Región de Aysén del General Carlos Ibáñez del Campo.;2;972483;243120.75;4;1982;39;no;no;0;1
9755;Región Metropolitana de Santiago.;0;1139691;569845.5;11;1983;38;si;si;0;1
6052;Región de Los Ríos.;3;678969;135793.8;2;1976;45;no;no;0;0
10479;Región de Los Ríos.;1;566652;188884;3;1971;50;no;no;0;0
4791;Región de Atacama.;1;502282;167427.3333;4;1980;41;no;no;0;0
150;Región de Antofagasta.;1;431866;143955.3333;3;1969;52;no;no;0;0
8611;Región de Magallanes y la Antártica Chilena.;1;881951;293983.6667;11;1966;55;no;no;1;1
11902;Región de Los Ríos.;3;576530;115306;1;1966;55;no;no;1;0
11912;Región de Coquimbo.;3;584070;116814;1;1970;51;no;no;0;0
1355;Región Metropolitana de Santiago.;3;516648;103329.6;3;1977;44;si;no;0;0
10232;Región de Magallanes y la Antártica Chilena.;1;510508;170169.3333;5;1962;59;no;no;0;0
5505;Región de Antofagasta.;0;706082;353041;12;1978;43;no;si;0;1
4089;Región de La Araucanía.;0;387689;193844.5;2;1965;56;no;si;0;0
7961;Región de Magallanes y la Antártica Chilena.;2;343536;85884;5;1971;50;no;no;0;0
11080;Región del Maule.;0;405529;202764.5;7;1982;39;no;si;0;0
3391;Región del Libertador General Bernardo O’Higgins.;3;917607;183521.4;7;1980;41;no;no;0;0
5244;Región de Los Ríos.;3;995715;199143;6;1973;48;no;no;0;1
12368;Región de Los Lagos.;1;1039298;346432.6667;11;1973;48;no;no;0;1
10246;Región del Biobío.;1;1078325;359441.6667;8;1966;55;no;no;0;1
118;Región de Antofagasta.;3;432414;86482.8;7;1963;58;no;no;0;0
8442;Región Metropolitana de Santiago.;3;517446;103489.2;9;1979;42;si;no;0;0
2661;Región de Aysén del General Carlos Ibáñez del Campo.;2;526319;131579.75;2;1973;48;no;no;0;0
7204;Región Metropolitana de Santiago.;0;668041;334020.5;9;1971;50;si;si;0;1
2552;Región de Magallanes y la Antártica Chilena.;0;827149;413574.5;4;1973;48;no;si;0;1
10745;Región de Los Lagos.;1;382675;127558.3333;9;1977;44;no;no;0;0
9717;Región de La Araucanía.;3;746066;149213.2;10;1964;57;no;no;0;0
7324;Región de La Araucanía.;2;874043;218510.75;5;1983;38;no;no;0;0
12;Región de Valparaíso.;0;989951;494975.5;2;1977;44;no;si;0;1
5853;Región de Atacama.;0;452686;226343;4;1980;41;no;si;0;0
8648;Región de Aysén del General Carlos Ibáñez del Campo.;1;1029573;343191;12;1962;59;no;no;0;1
8381;Región de Valparaíso.;1;1128879;376293;2;1975;46;no;no;0;1
12413;Región de Los Lagos.;0;791119;395559.5;3;1975;46;no;si;0;1
1862;Región del Libertador General Bernardo O’Higgins.;2;1064953;266238.25;5;1963;58;no;no;0;1
10713;Región de La Araucanía.;1;1005585;335195;7;1964;57;no;no;0;1
3204;Región Metropolitana de Santiago.;0;786897;393448.5;6;1975;46;si;si;0;1
7179;Región de Arica y Parinacota.;1;958223;319407.6667;3;1968;53;no;no;0;1
5859;Región de La Araucanía.;3;865477;173095.4;10;1971;50;no;no;0;0
7645;Región de Arica y Parinacota.;2;903904;225976;4;1963;58;no;no;0;1
2582;Región de Los Lagos.;2;1199769;299942.25;9;1970;51;no;no;0;1
11561;Región Metropolitana de Santiago.;0;875656;437828;3;1977;44;si;si;0;1
10532;Región del Maule.;0;1180919;590459.5;6;1966;55;no;si;0;1
4098;Región del Maule.;2;1168645;292161.25;6;1965;56;no;no;0;1
11460;Región de Tarapacá.;1;307189;102396.3333;3;1981;40;no;no;0;0
1870;Región Metropolitana de Santiago.;0;497526;248763;8;1977;44;si;si;0;0
7096;Región de Antofagasta.;0;1099698;549849;8;1973;48;no;si;0;1
11068;Región del Libertador General Bernardo O’Higgins.;0;418396;209198;7;1973;48;no;si;0;0
1897;Región de Los Lagos.;3;414424;82884.8;1;1971;50;no;no;0;0
11468;Región de Antofagasta.;0;688180;344090;11;1970;51;no;si;0;1
9224;Región de Magallanes y la Antártica Chilena.;0;1013191;506595.5;11;1974;47;no;si;0;1
3897;Región de Antofagasta.;2;655405;163851.25;11;1967;54;no;no;0;0
6831;Región de Magallanes y la Antártica Chilena.;3;419012;83802.4;10;1966;55;no;no;0;0
7415;Región Metropolitana de Santiago.;1;442301;147433.6667;8;1966;55;si;no;0;0
8570;Región de Aysén del General Carlos Ibáñez del Campo.;2;838939;209734.75;9;1968;53;no;no;0;1
8491;Región Metropolitana de Santiago.;1;1009620;336540;12;1966;55;si;no;0;1
4164;Región del Maule.;0;501561;250780.5;5;1983;38;no;si;0;0
7619;Región Metropolitana de Santiago.;3;931098;186219.6;7;1979;42;si;no;0;0
12097;Región de Antofagasta.;2;348274;87068.5;12;1974;47;no;no;0;0
7413;Región de La Araucanía.;2;576909;144227.25;10;1982;39;no;no;0;0
5660;Región de Valparaíso.;0;1045789;522894.5;10;1982;39;no;si;0;1
