NDOC,FECHA,Tipo de Producto o Servicio,CPROD,Producto/Servicio,Variante,Tipo de Prod.,Estacion
1,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
2,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
3,19/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Primavera
4,19/12/2018,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Primavera
4,27/12/2018,Lavado Express,150,Express,Sobre medida,Servicio de Lavado,Verano
4,27/12/2018,Accesorio auto,19,Aromatizante Little Trees,Pino Black Ice,Accesorio Auto,Verano
5,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
6,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
7,19/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Primavera
7,28/12/2018,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
8,19/12/2018,Lavado Express,148,Express,Full,Servicio de Lavado,Primavera
8,19/12/2018,Accesorio auto,21,Aromatizante Little Trees,Pino Cinnamon Apple,Accesorio Auto,Primavera
8,05/01/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
9,19/12/2018,Accesorio auto,74,Sonax,Purificador aire acondicionado,Accesorio Auto,Primavera
9,19/12/2018,Helados,139,Cremoso,Chocolate Almendra,Comestible,Primavera
10,19/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Primavera
10,19/12/2018,Abarrotes,127,Twistos,Jamón Ibérico,Comestible,Primavera
10,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
10,30/01/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
11,19/12/2018,Lavado Express,146,Express,Medio,Servicio de Lavado,Primavera
11,02/02/2019,Accesorio auto,1549034377232,Areon,KEN coffee,Accesorio Auto,Verano
11,02/02/2019,Café,39,Marley Coffe,Espresso,Bebestible,Verano
12,19/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Primavera
13,19/12/2018,Café,40,Marley Coffe,Mediano,Bebestible,Primavera
13,19/12/2018,Bebidas,97,Sprite,Lata 220ml,Bebestible,Primavera
